 5.48%
Classifier[14] iteration 144: error1 9567.473427, error2 1018.892340, percentage 7.28%
Classifier[14] iteration 145: error1 9567.431460, error2 1018.820323, percentage 7.28%
Classifier[14] iteration 146: error1 9567.389915, error2 1018.749018, percentage 7.28%
Classifier[14] iteration 147: error1 9567.348785, error2 1018.678415, percentage 7.28%
Classifier[14] iteration 148: error1 9567.308065, error2 1018.608502, percentage 7.28%
Classifier[14] iteration 149: error1 9567.267747, error2 1018.539272, percentage 7.28%
Classifier[14] iteration 150: error1 9567.227828, error2 1018.470712, percentage 7.27%
Classifier[14] iteration 151: error1 9567.188301, error2 1018.402815, percentage 7.27%
Classifier[14] iteration 152: error1 9567.149160, error2 1018.335570, percentage 7.27%
Classifier[14] iteration 153: error1 9567.110400, error2 1018.268968, percentage 7.27%
Classifier[14] iteration 154: error1 9567.072017, error2 1018.203001, percentage 7.27%
Classifier[14] iteration 155: error1 9567.034004, error2 1018.137660, percentage 7.27%
Classifier[14] iteration 156: error1 9566.996357, error2 1018.072935, percentage 7.27%
Classifier[14] iteration 157: error1 9566.959070, error2 1018.008819, percentage 7.27%
Classifier[14] iteration 158: error1 9566.922139, error2 1017.945302, percentage 7.27%
Classifier[14] iteration 159: error1 9566.885559, error2 1017.882378, percentage 7.27%
Classifier[14] iteration 160: error1 9566.849325, error2 1017.820038, percentage 7.27%
Classifier[14] iteration 161: error1 9566.813433, error2 1017.758274, percentage 7.27%
Classifier[14] iteration 162: error1 9566.777877, error2 1017.697079, percentage 7.27%
Classifier[14] iteration 163: error1 9566.742654, error2 1017.636445, percentage 7.27%
Classifier[14] iteration 164: error1 9566.707759, error2 1017.576364, percentage 7.27%
Classifier[14] iteration 165: error1 9566.673188, error2 1017.516829, percentage 7.27%
Classifier[14] iteration 166: error1 9566.638936, error2 1017.457834, percentage 7.27%
Classifier[14] iteration 167: error1 9566.605000, error2 1017.399371, percentage 7.27%
Classifier[14] iteration 168: error1 9566.571375, error2 1017.341433, percentage 7.27%
Classifier[14] iteration 169: error1 9566.538056, error2 1017.284014, percentage 7.27%
Classifier[14] iteration 170: error1 9566.505042, error2 1017.227107, percentage 7.27%
Classifier[14] iteration 171: error1 9566.472326, error2 1017.170705, percentage 7.27%
Classifier[14] iteration 172: error1 9566.439906, error2 1017.114803, percentage 7.27%
Classifier[14] iteration 173: error1 9566.407777, error2 1017.059393, percentage 7.26%
Classifier[14] iteration 174: error1 9566.375937, error2 1017.004470, percentage 7.26%
Classifier[14] iteration 175: error1 9566.344381, error2 1016.950028, percentage 7.26%
Classifier[14] iteration 176: error1 9566.313106, error2 1016.896060, percentage 7.26%
Classifier[14] iteration 177: error1 9566.282108, error2 1016.842561, percentage 7.26%
Classifier[14] iteration 178: error1 9566.251383, error2 1016.789525, percentage 7.26%
Classifier[14] iteration 179: error1 9566.220930, error2 1016.736947, percentage 7.26%
Classifier[14] iteration 180: error1 9566.190743, error2 1016.684821, percentage 7.26%
Classifier[14] iteration 181: error1 9566.160820, error2 1016.633140, percentage 7.26%
Classifier[14] iteration 182: error1 9566.131157, error2 1016.581901, percentage 7.26%
Classifier[14] iteration 183: error1 9566.101752, error2 1016.531098, percentage 7.26%
Classifier[14] iteration 184: error1 9566.072601, error2 1016.480725, percentage 7.26%
Classifier[14] iteration 185: error1 9566.043702, error2 1016.430778, percentage 7.26%
Classifier[14] iteration 186: error1 9566.015050, error2 1016.381251, percentage 7.26%
Classifier[14] iteration 187: error1 9565.986643, error2 1016.332139, percentage 7.26%
Classifier[14] iteration 188: error1 9565.958479, error2 1016.283438, percentage 7.26%
Classifier[14] iteration 189: error1 9565.930554, error2 1016.235143, percentage 7.26%
